Symbol	Name	USSymbol	Sector	OTC
ACL:TSXV	ACL International Ltd.		Oil & Gas	OTCQX
AAV:TSX	Advantage Oil & Gas Ltd.	AAV:US	 Oil & Gas 	 NYSE
AEZ:TSX	AEterna Zentaris Inc.	AEZS:US	 Life Sciences 	 NasdaqGM
AOI:TSX	Africa Oil Corp.		 Oil & Gas 	 OMX Nordic Exchange
AEM:TSX	Agnico Eagle Mines Limited	AEM:US	 Mining 	 NYSE
AGU:TSX	Agrium Inc.	AGU:US	 Mining 	 NYSE
ALP:TSXV	Alabama Graphite Corp.		Mining	OTCQX
ASR:TSX	Alacer Gold Corp.		 Mining 	 ASX
AGI:TSX	Alamos Gold Inc.	AGI:US	 Mining 	 NYSE
ADV:TSX	Alderon Iron Ore Corp.	AXX:US	 Mining 	 NYSE MKT
AXR:TSX	Alexco Resource Corp.	AXU:US	 Mining 	 NYSE MKT
AMM:TSX	Almaden Minerals Ltd.	AAU:US	 Mining 	 NYSE MKT
ALT:TSXV	Alturas Minerals Corp.		Mining	LIMA (BVL)
AHR:TSXV	Amarc Resources Ltd.		Mining	OTCQB
AYA:TSX	Amaya Inc.	AYA:US	 Technology 	 NasdaqGM
MLY:TSXV	American CuMo Mining Corporation		Mining	OTCQX
HOT.UN:TSX	American Hotel Income Properties REIT LP		 Real Estate 	 OTCQX
AVC:TSXV	American Vanadium Corp.		Mining	OTCQX
ARG:TSX	Amerigo Resources Ltd.		 Mining 	 Lima (BVL)
ARG:TSX	Amerigo Resources Ltd.		 Mining 	 OTCQX
AAU:TSXV	AndeanGold Ltd.		Mining	LIMA (BVL)
APY:TSX	Anglo Pacific Group PLC		 Mining 	 LSE
AE:TSXV	Anterra Energy Inc.		Oil & Gas	OTCQX
ATE:TSXV	Antibe Therapeutics Inc.		Life Sciences	OTCQX
AGD:TSXV	Antioquia Gold Inc.		Mining	OTCQX
AEN:TSXV	Antrim Energy Inc.		Oil & Gas	AIM
APS:TSX	Aptose Biosciences Inc.	APTO:US	 Life Sciences 	 NasdaqCM
AQM:TSXV	AQM Copper Inc.		Mining	LIMA (BVL)
AQA:TSX	Aquila Resources Inc.		 Mining 	 OTCQX
AGQ:TSXV	Arian Silver Corporation		Mining	AIM
A:TSXV	Armor Minerals Inc.		Mining	LIMA (BVL)
ARW:TSXV	Aroway Energy Inc.		Oil & Gas	OTCQX
AEI:TSX	Arsenal Energy Inc.		 Oil & Gas 	 OTCQX
AKG:TSX	Asanko Gold Inc.	AKG:US	Mining	 NYSE MKT
ARS:TSXV	Asiamet Resources Limited		Mining	AIM
ATG:TSXV	Atlanta Gold Inc.		Mining	OTCQX
AGB:TSXV	Atlantic Gold Corporation		Mining	ASX
ATP:TSX	Atlantic Power Corporation	AT:US	 Clean Technology 	 NYSE
ATL:TSX	Atlatsa Resources Corporation		 Mining 	 NYSE MKT
ATL:TSX	Atlatsa Resources Corporation		 Mining 	 JSE
AUN:TSXV	Aurcana Corporation		Mining	OTCQX
AUE:TSX	Aureus Mining Inc.		 Mining 	 AIM
AUP:TSX	Aurinia Pharmaceuticals Inc. J	AUPH:US	 Life Sciences 	 NasdaqGM
AUG:TSXV	Auryn Resources Inc.		Mining	OTCQX
AVL:TSX	Avalon Rare Metals Inc.	AVL:US	 Mining 	 NYSE MKT
ASM:TSXV	Avino Silver & Gold Mines Ltd.		Mining	NYSE MKT
BTO:TSX	B2Gold Corp.	BTG:US	 Mining 	 OTCQX
BAJ:TSXV	Baja Mining Corp.		Mining	OTCQB
BLD:TSX	Ballard Power Systems Inc.	BLDP:US	 Clean Technology 	 NasdaqGM
BAR:TSX	Balmoral Resources Ltd.		 Mining 	 OTCQX
BMO:TSX	Bank of Montreal	BMO:US	 Financial Services 	 NYSE
BNS:TSX	Bank of Nova Scotia (The)	BNS:US	 Financial Services 	 NYSE
BNK:TSX	Bankers Petroleum Ltd.		 Oil & Gas 	 AIM
BAN:TSX	Bannerman Resources Limited		 Mining 	 ASX
BAA:TSX	Banro Corporation	BAA:US	 Mining 	 NYSE MKT
ABX:TSX	Barrick Gold Corporation	ABX:US	 Mining 	 NYSE
BTE:TSX	Baytex Energy Corp.	BTE:US	 Oil & Gas 	 NYSE
BCE:TSX	BCE Inc.	BCE:US	 Comm & Media 	 NYSE
BXE:TSX	Bellatrix Exploration Ltd.	BXE:US	 Oil & Gas 	 NYSE MKT
BTI:TSXV	biOasis Technologies Inc.		Life Sciences	OTCQX
BB:TSX	BlackBerry Limited	BBRY:US	 Technology 	 NasdaqGM
PXX:TSX	BlackPearl Resources Inc.		 Oil & Gas 	 OMX Nordic Exchange
BBD.B:TSX	Bombardier Inc.		 Diversified Industries 	 OTCQX
BXO:TSX	Boulder Energy Ltd.		 Oil & Gas 	 OTCQX
BHT:TSXV	Braveheart Resources Inc.		Mining	OTCQX
BRI:TSXV	Brazil Resources Inc.		Mining	OTCQX
BAM.A:TSX	Brookfield Asset Management Inc.	BAM:US	 Financial Services 	 NYSE
BOX.UN:TSX	Brookfield Canada Office Properties	BOXC:US	 Real Estate 	 NYSE
BIP.UN:TSX	Brookfield Infrastructure Partners L.P.	BIP:US	 Diversified Industries 	 NYSE
BPO.PR.A:TSX	Brookfield Office Properties Inc.		 Real Estate 	 NYSE
BPY.UN:TSX	Brookfield Property Partners L.P.	BPY:US	 Real Estate 	 NYSE
BEP.UN:TSX	Brookfield Renewable Energy Partners L.P.	BEP:US	 Clean Technology 	 NYSE
BUF:TSX	Buffalo Coal Corp.		 Mining 	 JSE
BU:TSX	Burcon NutraScience Corporation	BUR:US	 Clean Technology 	 NasdaqGM
CAE:TSX	CAE Inc.	CAE:US	 Technology 	 NYSE
CGM:TSXV	California Gold Mining Inc.		Mining	OTCQX
CNX:TSXV	Callinex Mines Inc.		Mining	OTCQX
CCO:TSX	Cameco Corporation	CCJ:US	 Mining 	 NYSE
CF:TSX	Canaccord Genuity Group Inc.		 Financial Services 	 LSE
CNE:TSX	Canacol Energy Ltd.		 Oil & Gas 	 BVC
CNE:TSX	Canacol Energy Ltd.		 Oil & Gas 	 OTCQX
CEU:TSX	Canadian Energy Services & Technology Corp.		 Diversified Industries 	 OTCQX
CGI:TSX	Canadian General Investments Limited		 Financial Services 	 LSE
CM:TSX	Canadian Imperial Bank Of Commerce	CM:US	 Financial Services 	 NYSE
CNR:TSX	Canadian National Railway Company	CNI:US	 Diversified Industries 	 NYSE
CNQ:TSX	Canadian Natural Resources Limited	CNQ:US	 Oil & Gas 	 NYSE
COS:TSX	Canadian Oil Sands Limited		 Oil & Gas 	 OTCQX
XOP:TSXV	Canadian Overseas Petroleum Limited		Oil & Gas	LSE
CP:TSX	Canadian Pacific Railway Limited	CP:US	 Diversified Industries 	 NYSE
CVV:TSXV	Canalaska Uranium Ltd.		Mining	OTCQB
CSQ:TSXV	Canamex Resources Corp.		Mining	OTCQX
DNT:TSX	Candente Copper Corp.		 Mining 	 Lima (BVL)
CEV:TSXV	Cap-Ex Iron Ore Ltd.		Mining	OTCQX
CDU:TSX	Cardero Resource Corp.		 Mining 	 NYSE MKT
COM:TSX	Cardiome Pharma Corp.	CRME:US	 Life Sciences 	 NasdaqCM
CGJ:TSX	Carlisle Goldfields Limited		 Mining 	 OTCQX
CCY:TSXV	Catalyst Copper Corp.		Mining	OTCQX
CZY:TSXV	Caza Gold Corp.		Mining	OTCQX
CAZ:TSX	Caza Oil & Gas Inc.		 Oil & Gas 	 AIM
CLS:TSX	Celestica Inc.	CLS:US	 Technology 	 NYSE
CVE:TSX	Cenovus Energy Inc.	CVE:US	 Oil & Gas 	 NYSE
CEE:TSX	Centamin plc		 Mining 	 LSE
CEF.A:TSX	Central Fund of Canada Limited	CEF:US	 Closed-End Funds 	 NYSE MKT
GTU.UN:TSX	Central GoldTrust	GTU:US	 Closed-End Funds 	 NYSE MKT
GIB.A:TSX	CGI Group Inc.	GIB:US	 Technology 	 NYSE
CXN:TSX	Chalice Gold Mines Limited		 Mining 	 ASX
CIA:TSX	Champion Iron Limited		 Mining 	 ASX
CKG:TSXV	Chesapeake Gold Corp.		Mining	OTCQX
CMX:TSXV	Chilean Metals Inc.		Mining	OTCQX
CHN:TSXV	China Education Resources Inc.		Diversified Industries	OTCQX
CGG:TSX	China Gold International Resources Corp. Ltd.		 Mining 	 HKEx
MBA:TSX	CIBT Education Group Inc.		 Diversified Industries 	 OTCQX
MBA:TSX	CIBT Education Group Inc.		 Diversified Industries 	 NYSE MKT
CPH:TSX	Cipher Pharmaceuticals	CPHR:US	 Life Sciences 	NasdaqGM
CRJ:TSX	Claude Resources Inc.		 Mining 	 NYSE MKT
CNU:TSX	CNOOC Limited		 Oil & Gas 	 NYSE
CNU:TSX	CNOOC Limited	CEO:US	 Oil & Gas 	 HKEx
COB.U:TSXV	CohBar Inc.		Life Sciences	OTCQX
CIG:TSX	Colliers International Group Inc.	CIGI:US	 Real Estate 	 NasdaqGM
GTP:TSXV	Colt Resources Inc.		Mining	OTCQX
CGT:TSXV	Columbus Gold Corporation		Mining	OTCQX
CCE:TSXV	Commerce Resources Corp.		Mining	OTCQX
CXR:TSX	Concordia Healthcare Corp.	CXRX:US	 Life Sciences 	 OTCQX
CFM:TSXV	Confederation Minerals Ltd.		Mining	OTCQX
CNL:TSX	Continental Gold Inc.		 Mining 	 OTCQX
CRD:TSXV	Coronado Resources Ltd.		Clean Technology	OTCQX
CRF:TSXV	Coronet Metals Inc.		Mining	OTCQX
CBX:TSXV	Cortex Business Solutions Inc.		Technology	OTCQX
KOR:TSX	Corvus Gold Inc.		 Mining 	 OTCQX
BCB:TSX	Cott Corporation	COT:US	 Diversified Industries 	 NYSE
CCV:TSX	CounterPath Corporation	CPAH:US	 Technology 	 NasdaqCM
CPG:TSX	Crescent Point Energy Corp.	CPG:US	 Oil & Gas 	 NYSE
CRH:TSX	CRH Medical Corporation		 Life Sciences 	 OTCQX
CRE:TSXV	Critical Elements Corporation		Mining	OTCQX
CPM:TSXV	Crystal Peak Minerals Inc.		Mining	OTCQX
CTH:TSX	Cynapsus Therapeutics Inc.	CYNA:US	 Life Sciences 	 OTCQX
DNA:TSX	Dalradian Resources Inc.		 Mining 	 OTCQX
DEJ:TSX	Dejour Energy Inc.	DEJ:US	 Oil & Gas 	 NYSE MKT
DVO.U:TSXV	Delavaco Residential Properties Corp.		Real Estate	OTCQX
DML:TSX	Denison Mines Corp.	DNN:US	 Mining 	 NYSE MKT
DSG:TSX	Descartes Systems Group Inc. (The)	DSGX:US	 Technology 	 NasdaqGM
DAU:TSXV	Desert Gold Ventures Inc.		Mining	OTCQX
DSY:TSXV	Destiny Media Technologies Inc.		Technology	OTCQX
DHX.A:TSX	DHX Media Ltd. 	DHXM:US	 Comm & Media 	NasdaqCM
CUR:TSX	DiagnoCure Inc.		 Life Sciences 	 OTCQX
DMI:TSXV	Diamcor Mining Inc.		Mining	OTCQX
DVN:TSXV	Discovery Ventures Inc.		Mining	OTCQX
DDC:TSX	Dominion Diamond Corporation	DDC:US	 Mining 	 NYSE
UFS:TSX	Domtar Corporation	UFS:US	 Forest Products & Paper 	 NYSE
DXA:TSXV	Doxa Energy Ltd.		Oil & Gas	OTCQX
DWI:TSX	DragonWave Inc.	DRWI:US	 Technology 	 NasdaqGM
DPH:TSXV	Duncan Park Holdings Corporation		Mining	OTCQX
DRV:TSXV	Duran Ventures Inc.		Mining	LIMA (BVL)
DSF:TSXV	DuSolo Fertilizers Inc.		Mining	OTCPK
DMM:TSX	Dynasty Metals & Mining Inc.		 Mining 	 OTCQX
ELR:TSX	Eastern Platinum Limited		 Mining 	 JSE
ELR:TSX	Eastern Platinum Limited		 Mining 	 AIM
ECP:TSX	Ecopetrol S.A.	EC:US	 Oil & Gas 	 NYSE
ECP:TSX	Ecopetrol S.A.	EC:US	 Oil & Gas 	 BVC
EDW:TSXV	Edgewater Exploration Ltd.		Mining	OTCQX
ELN:TSXV	El Nino Ventures Inc.		Mining	OTCQX
ELS:TSXV	El Tigre Silver Corp.		Mining	OTCQX
ELD:TSX	Eldorado Gold Corporation	EGO:US	 Mining 	 NYSE
ELI:TSXV	Elissa Resources Ltd.		Mining	OTCQX
EMD:TSX	EMED Mining Public Limited		 Mining 	 AIM
ENB:TSX	Enbridge Inc.	ENB:US	 Utilities & Pipelines 	 NYSE
ECA:TSX	Encana Corporation	ECA:US	 Oil & Gas 	 NYSE
EPO:TSXV	Encanto Potash Corp.		Mining	OTCQX
EDV:TSX	Endeavour Mining Corporation		 Mining 	 OTCQX
EDV:TSX	Endeavour Mining Corporation		 Mining 	 ASX
EDR:TSX	Endeavour Silver Corp.	EXK:US	 Mining 	 NYSE
ENL:TSX	Endo International plc	ENDP:US	 Life Sciences 	 NasdaqGM
EGZ:TSX	Energizer Resources Inc.		 Mining 	 OTCQX
EFR:TSX	Energy Fuels Inc.	UUUU:US	 Mining 	 OTCQX
ERF:TSX	Enerplus Corporation	ERF:US	 Oil & Gas 	 NYSE
EOR:TSXV	Enhanced Oil Resources Inc.		Oil & Gas	OTCQX
ETG:TSX	Entree Gold Inc.	EGI:US	 Mining 	 NYSE MKT
EQU.DB.B:TSX	Equal Energy Ltd.		 Oil & Gas 	 NYSE
EPI:TSX	Essa Pharma Inc.	EPIX:US	 Life Sciences 	 NasdaqCM
ECC:TSXV	Ethos Gold Corp.		Mining	OTCQX
ETX:TSX	Etrion Corporation		 Clean Technology 	 OMX Nordic Exchange
EMX:TSXV	Eurasian Minerals Inc.		Mining	NYSE MKT
EOX:TSXV	EurOmax Resources Ltd.		Mining	OTCQX
EUU:TSXV	European Uranium Resources Ltd.		Mining	OTCQX
EVR:TSXV	Everton Resources Inc.		Mining	OTCQX
MIN:TSXV	Excelsior Mining Corp.		Mining	OTCQX
XRC:TSX	Exeter Resource Corporation	XRA:US	 Mining 	 NYSE MKT
EXF:TSX	EXFO Inc.	EXFO:US	 Technology 	 NasdaqGM
FO:TSXV	Falcon Oil & Gas Ltd.		Oil & Gas	AIM
FO:TSXV	Falcon Oil & Gas Ltd.		Oil & Gas	Irish Stock Exchange
FR:TSX	First Majestic Silver Corp.	AG:US	 Mining 	 NYSE
FM:TSX	First Quantum Minerals Ltd.		 Mining 	 LSE
FSV:TSX	FirstService Corporation	FSV:US	 Real Estate 	 NasdaqGM
FLY:TSXV	FLYHT Aerospace Solutions Ltd.		Technology	OTCQX
FMS:TSXV	Focus Graphite Inc.		Mining	OTCQX
FCO:TSX	Formation Metals Inc.		 Mining 	 OTCQX
FVI:TSX	Fortuna Silver Mines Inc.	FSM:US	 Mining 	 Lima (BVL)
FVI:TSX	Fortuna Silver Mines Inc.	FSM:US	 Mining 	 NYSE
FT:TSX	Fortune Minerals Limited		 Mining 	 OTCQX
FNV:TSX	Franco-Nevada Corporation	FNV:US	 Mining 	 NYSE
GAL:TSXV	Galantas Gold Corporation		Mining	AIM
GZT:TSX	Gazit-Globe Ltd.	GZT:US	 Real Estate 	 NYSE
GZT:TSX	Gazit-Globe Ltd.	GZT:US	 Real Estate 	 TASE
GMO:TSX	General Moly Inc.	GMO:US	 Mining 	 NYSE MKT
GMM.U:TSX	General Motors Company	GM:US	 Diversified Industries 	 NYSE
GIX:TSX	Geologix Explorations Inc.		 Mining 	 OTCQX
GIL:TSX	Gildan Activewear Inc.	GIL:US	 Diversified Industries 	 NYSE
WDG:TSXV	Giyani Gold Corp.		Mining	JSE
BOB:TSXV	Global Hunter Corp.		Mining	OTCQX
GMX:TSX	Globex Mining Enterprises Inc.		 Mining 	 OTCQX
GSV:TSXV	Gold Standard Ventures Corp.		Mining	NYSE MKT
G:TSX	Goldcorp Inc.	GG:US	 Mining 	 NYSE
GBN:TSXV	Golden Band Resources Inc.		Mining	OTCQX
AUM:TSX	Golden Minerals Company	AUMN:US	 Mining 	 NYSE MKT
GQM:TSX	Golden Queen Mining Co. Ltd.		 Mining 	 OTCQX
GSC:TSX	Golden Star Resources Ltd.	GSS:US	 Mining 	 NYSE MKT
GOD:TSXV	Goldrush Resources Ltd.		Mining	OTCQX
GTE:TSX	Gran Tierra Energy Inc.	GTE:US	 Oil & Gas 	 NYSE MKT
GXO:TSX	Granite Oil Corp.		 Oil & Gas 	 OTCQX
GRT.UN:TSX	Granite Real Estate Investment Trust	GRP.U:US	 Real Estate 	 NYSE
GPH:TSXV	Graphite One Resources Inc.		Mining	OTCQX
GPR:TSX	Great Panther Silver Limited	GPL:US	 Mining 	 NYSE MKT
GZD:TSXV	Grizzly Discoveries Inc.		Mining	OTCQX
GWR:TSX	GWR Global Water Resources Corp.		 Utilities & Pipelines 	 OTCQX
HEO:TSXV	H2O Innovation Inc.		Clean Technology	 OTCQX
HEO:TSXV	H2O Innovation Inc.		Clean Technology	NYSE Alternext
HER:TSX	Heron Resources Limited		 Mining 	 ASX
HZM:TSX	Horizonte Minerals Plc		 Mining 	 AIM
HBM:TSX	HudBay Minerals Inc.	HBM:US	 Mining 	 NYSE
HBM:TSX	HudBay Minerals Inc.	HBM:US	 Mining 	 Lima (BVL)
HUD:TSXV	Hudson Resources Inc.		Mining	OTCQX
HYG:TSX	Hydrogenics Corporation	HYGS:US	 Clean Technology 	 NasdaqGM
IMA:TSXV	I-Minerals Inc.		Mining	OTCQX
IMG:TSX	IAMGold Corporation	IAG:US	 Mining 	 NYSE
IB:TSXV	IBC Advanced Alloys Corp.		Diversified Industries	OTCQX
ICP:TSX	IC Potash Corp.		 Mining 	 OTCQX
ICO:TSXV	iCo Therapeutics Inc.		Life Sciences	OTCQX
IMV:TSX	Immunovaccine Inc.		 Life Sciences 	 OTCQX
IMO:TSX	Imperial Oil Limited	IMO:US	 Oil & Gas 	 NYSE MKT
ICG:TSXV	Integra Gold Corp.		Mining	OTCQX
IGX:TSXV	IntelGenx Technologies Corp.		Life Sciences	OTCQX
I:TSX	IntelliPharmaCeutics International Inc.	IPCI:US	 Life Sciences 	 NasdaqCM
ITH:TSX	International Tower Hill Mines Ltd.	THM:US	 Mining 	 NYSE MKT
INT:TSXV	Intertainment Media Inc.		Technology	OTCQX
IGD:TSXV	Intigold Mines Ltd.		Mining	OTCQX
IRC:TSXV	Ironside Resources Inc.		Mining	OTCQX
IGT:TSX	iShares Gold Trust	IAU:US	 ETP 	 NYSE Arca
ISD:TSXV	iSign Media Solutions Inc.		Technology	OTCQX
IAE:TSX	Ithaca Energy Inc.		 Oil & Gas 	 AIM
JCO:TSXV	Jericho Oil Corporation		Oil & Gas	OTCQX
JE:TSX	Just Energy Group Inc.	JE:US	 Diversified Industries 	 NYSE
KEK:TSXV	Keek Inc.		Technology	OTCQX
KLS:TSX	Kelso Technologies Inc.	KIQ:US	 Diversified Industries 	 OTCQX
KFS:TSX	Kingsway Financial Services Inc.	KFS:US	 Financial Services 	 NYSE
K:TSX	Kinross Gold Corporation	KGC:US	 Mining 	 NYSE
KGI:TSX	Kirkland Lake Gold Inc.		 Mining 	 AIM
KDX:TSX	Klondex Mines Ltd.		 Mining 	 OTCQX
KXM:TSXV	Kobex Capital Corp.		Financial Services	OTCQB
LSG:TSX	Lake Shore Gold Corp.	LSG:US	 Mining 	 NYSE MKT
LAM:TSX	Laramide Resources Ltd.		 Mining 	 ASX
LAT:TSXV	Latin American Minerals Inc.		Mining	OTCQX
LME:TSXV	Laurion Mineral Exploration Inc.		Mining	OTCQX
LMD:TSXV	LED Medical Diagnostics Inc.		Life Sciences	OTCQX
LVN:TSX	Levon Resources Ltd.		 Mining 	 OTCQX
